Reviewer,TotalReviewsByUser,ReviewRating,ReviewDate,State,Country,ReviewDescription
"My name Khan
1 review
a month ago
I was ex employee of this company.. worst place to work as their is no work life balance and  full of internal politics .. no wfh during this pandemic situation. No transperancy with management.. worst MBM culture with no bonus and hikes. …More",1 review,1,May 2021,Karnataka,India,I was ex employee of this company.. worst place to work as their is no work life balance and  full of internal politics .. no wfh during this pandemic situation. No transperancy with management.. worst MBM culture with no bonus and hikes. Try to avoid this company even if you have choice with start up . Only people who can butter management will be awarded.
"sher Ali Sardar
Local Guide·50 reviews·66 photos
8 months ago
My first visit to Koch Business Solutions India was awesome. The facility is neat clean and hygienic. …More",Local Guide·50 reviews·66 photos,5,October 2020,Karnataka,India,"My first visit to Koch Business Solutions India was awesome. The facility is neat clean and hygienic.

Bright, Vibrant and energetic environment"
"Braj Bhushan Jha
Local Guide·15 reviews·133 photos
3 months ago
Koch Business Solutions is my workplace. Back to office after 1 year, due to Covid. It's like heaven..",Local Guide·15 reviews·133 photos,5,March 2021,Karnataka,India,"Koch Business Solutions is my workplace. Back to office after 1 year, due to Covid. It's like heaven.."
"Nelson M
Local Guide·44 reviews·1 photo
3 months ago
Awesome place. This is one of the best companies to work for...",Local Guide·44 reviews·1 photo,5,March 2021,Karnataka,India,Awesome place. This is one of the best companies to work for...
"Dev Maharaj
Local Guide·5 reviews·73 photos
a year ago
Extremely Beautiful Office , would love to work.",Local Guide·5 reviews·73 photos,5,June 2020,Karnataka,India,"Extremely Beautiful Office , would love to work."
"Parth Patel
Local Guide·205 reviews·118 photos
4 months ago
Best place to work and grow.  Nice experience till now",Local Guide·205 reviews·118 photos,5,February 2021,Karnataka,India,Best place to work and grow.  Nice experience till now
"Sneha Saloni
4 reviews·24 photos
4 months ago
New employee. Still getting to know",4 reviews·24 photos,5,February 2021,Karnataka,India,New employee. Still getting to know
"Twinkle Sebastain
Local Guide·173 reviews·18 photos
7 months ago
World class facility. Good infrastructure and great place to work",Local Guide·173 reviews·18 photos,5,November 2020,Karnataka,India,World class facility. Good infrastructure and great place to work
"ಇದನ್ನು ಓದಲು ಬಂದವನೇ ಬುದ್ದಿವಂತ
7 reviews·1 photo
8 months ago
Never attend interviews in this company. Each round happens at snail speed and after 5 to 6 rounds, they don't even bother to update you the feedback.",7 reviews·1 photo,1,October 2020,Karnataka,India,"Never attend interviews in this company. Each round happens at snail speed and after 5 to 6 rounds, they don't even bother to update you the feedback."
"Mahmood Alam
Local Guide·166 reviews·42 photos
2 months ago
Beautifully construction and well maintained.",Local Guide·166 reviews·42 photos,5,April 2021,Karnataka,India,Beautifully construction and well maintained.
"sonam sinha
Local Guide·45 reviews·68 photos
4 months ago
Provision for Visitors Car Parking in Basement 2 after you are done with Entry at the Main Gate.",Local Guide·45 reviews·68 photos,4,February 2021,Karnataka,India,Provision for Visitors Car Parking in Basement 2 after you are done with Entry at the Main Gate.
"Bhagya Plus
Local Guide·85 reviews·113 photos
7 months ago
Good food good life 😀good package good knowledge🐣",Local Guide·85 reviews·113 photos,5,November 2020,Karnataka,India,Good food good life 😀good package good knowledge🐣
"kavya prahaladan
6 reviews·4 photos
3 months ago
Excellant place to work!!!",6 reviews·4 photos,5,March 2021,Karnataka,India,Excellant place to work!!!
"Naveen Raaj
Local Guide·20 reviews
a year ago
Newly constructed building. Perfect place to work. Everything inside the building is Koch industry products. Very spacious and organized.",Local Guide·20 reviews,5,June 2020,Karnataka,India,Newly constructed building. Perfect place to work. Everything inside the building is Koch industry products. Very spacious and organized.
"krupa lvs
4 reviews
8 months ago
After clearing all the rounds they will say some or the other reason and says your not up to the mark,if I am not up to the mark then why did they say you have cleared all the rounds and wait for HR discussion.don't know.
Waste of time to take interview.",4 reviews,1,October 2020,Karnataka,India,"After clearing all the rounds they will say some or the other reason and says your not up to the mark,if I am not up to the mark then why did they say you have cleared all the rounds and wait for HR discussion.don't know.
Waste of time to take interview."
"gajendra kumar
Local Guide·45 reviews·50 photos
8 months ago
Good place for large and medium sized offices.",Local Guide·45 reviews·50 photos,5,October 2020,Karnataka,India,Good place for large and medium sized offices.
"Akash Raj
Local Guide·25 reviews
3 months ago
Best work culture",Local Guide·25 reviews,5,March 2021,Karnataka,India,Best work culture
